epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,6679.52,0.96063,0.7124,0.00525,0.65601,0.61949,0.61768,0.3081,1.80891,1.49567,0.01441,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
79,6764.75,0.96477,0.70877,0.00527,0.64368,0.63623,0.62281,0.30847,1.80422,1.50253,0.01436,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,6849.86,0.95944,0.71487,0.00511,0.6634,0.61227,0.62203,0.30867,1.8096,1.50406,0.01445,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,6935.22,0.94077,0.69562,0.00498,0.70029,0.57895,0.62326,0.31023,1.80467,1.51622,0.01436,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,7020.75,0.95763,0.71619,0.00521,0.68848,0.59161,0.62903,0.31303,1.79771,1.51719,0.01429,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,7105.83,0.94772,0.686,0.00511,0.68079,0.60365,0.62507,0.31297,1.80614,1.49143,0.01449,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,7191.14,0.95542,0.71518,0.00516,0.67978,0.60267,0.62549,0.31355,1.79279,1.50088,0.01443,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
85,7276.41,0.95634,0.693,0.00512,0.69427,0.60749,0.63369,0.31419,1.78458,1.50526,0.01437,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
86,7361.79,0.95858,0.69216,0.0052,0.68416,0.6138,0.63647,0.31659,1.79433,1.49644,0.01445,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
87,7446.93,0.96294,0.69783,0.00506,0.6941,0.61505,0.63777,0.32016,1.78648,1.49683,0.01439,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
88,7532.5,0.95787,0.68172,0.00503,0.68993,0.61463,0.63449,0.31784,1.78781,1.49343,0.01424,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774
89,7617.78,0.94657,0.67723,0.00508,0.68873,0.61715,0.63764,0.31812,1.78901,1.48538,0.01417,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
90,7703.17,0.95699,0.6787,0.00504,0.68335,0.62538,0.63802,0.31756,1.78427,1.49779,0.01409,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378
91,7788.54,0.94744,0.6846,0.00498,0.68834,0.61387,0.63686,0.31723,1.78774,1.48647,0.01411,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
92,7874.05,0.93902,0.68837,0.00501,0.69503,0.61556,0.63793,0.31648,1.79586,1.47585,0.01421,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982
93,7959.65,0.96214,0.68476,0.00504,0.68451,0.62814,0.63872,0.31648,1.79568,1.47535,0.0142,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
94,8045.29,0.93654,0.68309,0.00505,0.6727,0.6313,0.63739,0.3145,1.79815,1.48004,0.0142,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586
95,8130.67,0.94219,0.68075,0.0051,0.67499,0.63127,0.63801,0.31478,1.79514,1.48321,0.01419,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
96,8216.18,0.94,0.68041,0.00501,0.66109,0.6499,0.6391,0.31418,1.80537,1.46744,0.01429,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
97,8301.61,0.9431,0.68467,0.0051,0.6992,0.61114,0.64039,0.3149,1.80741,1.46063,0.01433,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
98,8387.14,0.92952,0.6625,0.00487,0.6601,0.64938,0.6404,0.3147,1.80365,1.46106,0.01429,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794
99,8472.52,0.9301,0.66892,0.00496,0.67851,0.6383,0.64003,0.31517,1.79923,1.4694,0.01425,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
100,8557.96,0.92422,0.67834,0.00488,0.667,0.64235,0.63793,0.3158,1.79613,1.47356,0.01433,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398
101,8643.49,0.93883,0.68572,0.00505,0.67814,0.63784,0.63973,0.31715,1.79743,1.47353,0.01433,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
102,8728.91,0.93339,0.65906,0.00502,0.66543,0.64739,0.64148,0.3186,1.79515,1.47239,0.01429,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002
103,8814.45,0.94017,0.66896,0.00495,0.66873,0.65133,0.64364,0.32002,1.79787,1.46798,0.01434,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
104,8899.76,0.94604,0.66918,0.00508,0.67323,0.64775,0.64569,0.32101,1.79472,1.47547,0.01417,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606
105,8985.45,0.94655,0.67549,0.00502,0.68209,0.64774,0.64617,0.32206,1.79185,1.47755,0.01417,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
106,9070.9,0.93687,0.65627,0.00489,0.67735,0.64283,0.64509,0.32136,1.79332,1.47338,0.01418,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
107,9156.47,0.9431,0.66185,0.00503,0.68481,0.63948,0.64907,0.32256,1.78662,1.47882,0.01413,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
108,9241.76,0.92577,0.6524,0.005,0.68012,0.6385,0.6431,0.32121,1.78851,1.47825,0.01415,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814
109,9327.28,0.94119,0.65861,0.0051,0.67688,0.63546,0.63931,0.31899,1.78682,1.48031,0.01417,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
110,9412.78,0.93686,0.65443,0.00501,0.67914,0.6387,0.64161,0.32109,1.78977,1.47445,0.01422,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418
111,9498.34,0.93432,0.65755,0.00497,0.68514,0.63434,0.64178,0.32273,1.78647,1.47873,0.01419,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
112,9583.75,0.94309,0.66582,0.00511,0.67428,0.64137,0.64325,0.32322,1.78499,1.48396,0.01419,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
113,9669.22,0.92532,0.63038,0.00492,0.6757,0.64441,0.64598,0.32455,1.79013,1.47208,0.01423,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
114,9754.81,0.93007,0.64754,0.00494,0.67358,0.64134,0.64541,0.32466,1.79001,1.47268,0.01425,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626
115,9840.39,0.9216,0.63998,0.005,0.67138,0.63872,0.64409,0.32406,1.78842,1.47337,0.01425,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
116,9925.89,0.93341,0.65115,0.005,0.6759,0.63948,0.64434,0.32363,1.78633,1.47507,0.01416,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
117,10011.4,0.92562,0.6453,0.00501,0.67905,0.64215,0.64527,0.3232,1.78556,1.47507,0.01413,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
118,10096.9,0.94201,0.64465,0.00496,0.68081,0.64219,0.64492,0.32271,1.78926,1.46705,0.01416,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834
119,10182.5,0.93383,0.63962,0.00494,0.6853,0.63872,0.6436,0.32211,1.78647,1.47101,0.01414,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
120,10268,0.93275,0.64826,0.00496,0.68198,0.6383,0.64385,0.32281,1.78511,1.47271,0.01413,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438
