epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
107,3607.85,1.36963,0.77795,0.00719,0.84081,0.74075,0.82581,0.53554,1.32008,0.71038,0.01016,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
108,3640.5,1.3977,0.80312,0.00725,0.84141,0.72901,0.81823,0.52529,1.32117,0.73928,0.0103,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814
109,3673.18,1.37601,0.79685,0.00767,0.85128,0.71245,0.81233,0.52808,1.30709,0.74019,0.01003,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
110,3705.78,1.35552,0.78104,0.00736,0.81652,0.7278,0.81034,0.51796,1.35136,0.77019,0.01061,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418
111,3738.42,1.35587,0.79006,0.0075,0.82664,0.73623,0.8136,0.52243,1.31636,0.74844,0.00993,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
112,3771,1.34423,0.79704,0.00727,0.83758,0.73784,0.82336,0.52671,1.32497,0.72905,0.01028,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
113,3803.59,1.35783,0.7889,0.00746,0.83654,0.72403,0.81603,0.52881,1.30896,0.7362,0.00992,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
114,3836.33,1.34906,0.77904,0.00738,0.83165,0.74539,0.82799,0.53765,1.3032,0.71359,0.00975,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626
115,3869.27,1.34444,0.77128,0.00747,0.8368,0.74395,0.82386,0.53404,1.28601,0.73523,0.00957,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
116,3901.91,1.33448,0.77775,0.00738,0.8388,0.74192,0.82254,0.53439,1.30073,0.71935,0.00995,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
117,3934.49,1.34904,0.80012,0.00757,0.84617,0.75066,0.82942,0.53652,1.30257,0.71804,0.00951,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
118,3967.15,1.35122,0.77511,0.00724,0.87224,0.72836,0.83433,0.54254,1.28962,0.69383,0.00978,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834
119,3999.77,1.34691,0.76566,0.00725,0.8454,0.74271,0.82304,0.53275,1.29351,0.74763,0.00958,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
120,4032.3,1.31387,0.74426,0.00699,0.85739,0.73743,0.82977,0.54043,1.28209,0.7156,0.00976,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438
