epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
101,3532.54,1.14704,0.61776,0.0059,0.87313,0.77753,0.85121,0.5701,1.21877,0.66178,0.00876,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
102,3572.97,1.15283,0.59719,0.00568,0.84878,0.77872,0.84572,0.57131,1.22246,0.68011,0.00891,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002
103,3612.59,1.1433,0.6088,0.00578,0.85685,0.79243,0.85954,0.58358,1.19969,0.61084,0.00868,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
104,3645.28,1.16337,0.60569,0.00585,0.85188,0.78998,0.84802,0.57371,1.20761,0.64807,0.0087,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606
105,3677.61,1.14778,0.59211,0.00547,0.86294,0.78041,0.85388,0.58295,1.18946,0.62585,0.00873,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
106,3711.2,1.13839,0.60232,0.00574,0.85459,0.76601,0.85213,0.57764,1.2135,0.65083,0.00875,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
107,3749.01,1.16705,0.58698,0.00558,0.85691,0.77633,0.85341,0.58299,1.20899,0.67195,0.00899,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
108,3786.28,1.18326,0.61872,0.00568,0.87454,0.77923,0.85791,0.5887,1.18964,0.63921,0.00856,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814
109,3823.64,1.15712,0.59819,0.00589,0.87618,0.78026,0.85788,0.58361,1.18319,0.67141,0.00864,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
110,3860.1,1.14,0.60406,0.00567,0.85758,0.78293,0.85221,0.57754,1.21159,0.65346,0.00894,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418
111,3896.52,1.12844,0.60863,0.00579,0.86817,0.77446,0.85701,0.57969,1.2005,0.65121,0.00868,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
112,3933.82,1.13518,0.60512,0.00565,0.86183,0.77723,0.8546,0.5817,1.19197,0.69073,0.00861,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
113,3970.47,1.15019,0.60782,0.00583,0.87143,0.77263,0.85017,0.57212,1.22174,0.65712,0.00875,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
114,4007.12,1.14031,0.60673,0.0058,0.87362,0.77422,0.85255,0.58325,1.19607,0.65254,0.00865,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626
115,4043.88,1.13582,0.60196,0.00578,0.87762,0.76352,0.85315,0.58394,1.18139,0.66194,0.00855,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
116,4080.45,1.13476,0.61164,0.0058,0.8731,0.76265,0.84921,0.5826,1.18319,0.65368,0.00875,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
117,4116.62,1.15084,0.61747,0.00592,0.8629,0.7759,0.85083,0.58501,1.18611,0.6611,0.00867,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
118,4152.85,1.1441,0.61116,0.00567,0.86923,0.77936,0.85325,0.58279,1.18462,0.65512,0.00878,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834
119,4190.64,1.13924,0.6049,0.00568,0.85524,0.78397,0.84852,0.57475,1.19555,0.66496,0.00895,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
120,4228.04,1.12405,0.58297,0.00559,0.85529,0.7795,0.84687,0.57994,1.20082,0.65384,0.00878,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438
121,4265.56,1.11931,0.57196,0.00548,0.87567,0.76651,0.85073,0.58387,1.19003,0.64681,0.00879,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
122,4303.1,1.1374,0.56885,0.00563,0.88008,0.77403,0.85875,0.58817,1.17958,0.63335,0.00847,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042
123,4340.32,1.14809,0.59756,0.00572,0.85847,0.78222,0.85009,0.57757,1.20136,0.66888,0.00857,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
124,4377.59,1.14176,0.58599,0.00565,0.83305,0.80671,0.85873,0.59454,1.15954,0.62431,0.00827,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646
125,4415.1,1.13837,0.5997,0.00569,0.84942,0.77663,0.85246,0.58221,1.17459,0.65115,0.00834,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448
126,4456.78,1.11261,0.58624,0.00567,0.87309,0.76916,0.85256,0.58878,1.17736,0.65254,0.00855,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
127,4497.45,1.14658,0.59158,0.00567,0.85224,0.77316,0.85526,0.58537,1.17404,0.65225,0.00852,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052
128,4536.39,1.07921,0.56385,0.00565,0.8527,0.7865,0.85219,0.57735,1.19107,0.67042,0.00876,0.0224562,0.0074854,0.0224562,0.0074854,0.0224562,0.0074854,0.0224562,0.0074854
